,date,similarities
0,2020-01,0.9217776374484891
1,2020-02,0.9038516305555553
2,2020-03,0.8464204614600517
3,2020-04,0.9198188192484527
4,2020-05,0.9214519116422049
5,2020-06,0.8754361283333332
6,2020-07,0.8927047078753529
7,2020-08,0.9278296730107526
8,2020-09,0.8856868105286004
9,2020-10,0.9174876938303571
10,2020-11,0.8629512868519883
11,2020-12,0.8743073202381992
12,2021-01,0.8771879108492231
13,2021-02,0.8769972483345734
14,2021-03,0.894776422843259
15,2021-04,0.8809682070966312
16,2021-05,0.8841325475183152
17,2021-06,0.9049639663422554
18,2021-07,0.8885284248854166
19,2021-08,0.8891805113103146
20,2021-09,0.916089328169643
21,2021-10,0.9027509269210829
22,2021-11,0.9100097192032828
23,2021-12,0.9360326442847503
24,2022-01,0.8980402159333333
25,2022-02,0.8806714035427898
26,2022-03,0.9054172150049602
27,2022-04,0.8850857471746032
28,2022-05,0.878525942888889
