,brand,id,created_at,text,likes,in reply to,retweeted,nb_words,text_len,subjectivity,polarity,negative,neutral,positive,compound
0,LOCCITANE_UK,1505212520713183238,2022-03-19 16:00:05,show the mothering figure in your life just how special she is with a gesture which shows your love and appreciatio ,5,,False,21,116,0.5857142857142856,0.4285714285714286,0.0,0.723,0.277,0.7845
1,LOCCITANE_UK,1504850139818565633,2022-03-18 16:00:06,today is world sleep day let us know in the comments the ways in which you create an atmosphere conducive to a ,3,,False,22,111,0.0,0.0,0.0,0.905,0.095,0.2732
2,LOCCITANE_UK,1504785766202830850,2022-03-18 11:44:18, we save tons of in transportation by having lighter pallets you can always purchase your own glass refi ,0,A2eGx,False,18,105,1.0,0.6,0.0,0.842,0.158,0.4939
3,LOCCITANE_UK,1504476590834561034,2022-03-17 15:15:45, happy st patricks day its your last chance to get your hands on this lovely pouch containing some of our be ,2,,False,21,109,0.6055555555555555,0.43333333333333335,0.0,0.638,0.362,0.8807
4,LOCCITANE_UK,1504125348845215747,2022-03-16 16:00:03,our limited edition delicate shea collection is lightly whipped into an airy formula it gently melts into the hand ,4,,False,19,115,0.6357142857142857,0.05714285714285715,0.078,0.617,0.305,0.6705
5,LOCCITANE_UK,1504103959228678144,2022-03-16 14:35:03, bonjour were sorry to see your feedback as we explained our containers are not dishwasher safe our bott ,0,A2eGx,False,18,105,0.75,0.0,0.188,0.812,0.0,-0.4031
6,LOCCITANE_UK,1503053279361527809,2022-03-13 17:00:01,however you like to enjoy some time to unwind reset your week with some selfcare this sunday ,3,,False,17,93,0.5,0.4,0.0,0.725,0.275,0.6908
7,LOCCITANE_UK,1502675806924914689,2022-03-12 16:00:05,fancy some weekend baking inspired by our rose jasmin collection see laurens tasty jasmine tea rose cupcakes ,8,,False,17,109,0.95,0.6,0.0,0.833,0.167,0.4939
8,LOCCITANE_UK,1502313421739474945,2022-03-11 16:00:06,celebrate the mothering figure in your life and discover a variety of gifts shes guaranteed to love from skincare ,5,,False,19,114,0.6,0.5,0.0,0.669,0.331,0.836
9,LOCCITANE_UK,1501951037636108298,2022-03-10 16:00:06,our teams top desert island picks we asked our team here at loccitane head office which desert island produc ,3,,False,19,109,0.5,0.5,0.0,0.909,0.091,0.2023
10,LOCCITANE_UK,1501588633085566977,2022-03-09 16:00:02,discover the blooms of provence with our loccitane x bespoke baby flower bouquet claim online ,4,,False,15,94,0.0,0.0,0.0,1.0,0.0,0.0
11,LOCCITANE_UK,1500863867290734594,2022-03-07 16:00:05,were dreaming of a sunny afternoon spent in provence where are you dreaming of being this monday comment down ,7,,False,19,110,0.19444444444444448,-0.1277777777777778,0.0,0.859,0.141,0.4215
12,LOCCITANE_UK,1500836606034411523,2022-03-07 14:11:45, ,1,mariajastrz,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0
13,LOCCITANE_UK,1500836543837065226,2022-03-07 14:11:30, ,1,womensaid,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0
14,LOCCITANE_UK,1500501468486451201,2022-03-06 16:00:02,if you could only ever use one loccitane body cream what would be it let us know in the comments shop our bo ,3,,False,23,109,1.0,0.0,0.0,1.0,0.0,0.0
15,LOCCITANE_UK,1500139077730926599,2022-03-05 16:00:02,we love this stunning watercolour painting of our lavender ingredient lavender has been part of the loccitane ,4,,False,17,110,0.8,0.5,0.0,0.676,0.324,0.802
16,LOCCITANE_UK,1499776703073189891,2022-03-04 16:00:05,its time to experience the fruity and floral scent of cherry blossom shop here ,6,,False,14,79,0.0,0.0,0.0,1.0,0.0,0.0
17,LOCCITANE_UK,1499414304545595394,2022-03-03 16:00:02,exciting news our mothers day gifts are now available make this mothering sunday special by celebrating and empo ,2,,False,18,113,0.5904761904761905,0.3523809523809524,0.0,0.61,0.39,0.8625
18,LOCCITANE_UK,1498327136792289287,2022-02-28 16:00:01,pamper your skin ready for the week ahead this maskmonday todays pick our purifying face mask shop here ,1,,False,18,104,0.5,0.2,0.0,0.872,0.128,0.3612
19,LOCCITANE_UK,1497964754496733190,2022-02-27 16:00:02,treat your hands to a little tlc today with our youth hand cream shop here ,3,,False,15,75,0.5,-0.1875,0.0,0.67,0.33,0.7096
20,LOCCITANE_UK,1497602365095964674,2022-02-26 16:00:02,we love this cute photo from our regent street flagship store will you be visiting us instore soon let us know ,6,,False,21,111,0.8,0.5,0.0,0.664,0.336,0.8442
21,LOCCITANE_UK,1497239979134644224,2022-02-25 16:00:03,our favourite part of the day when we can unwind with a candle and have a cuppa what is your top tip for relaxing ,4,,False,24,114,0.5,0.5,0.0,0.8,0.2,0.6124
22,LOCCITANE_UK,1496518475522605056,2022-02-23 16:13:03, ,0,jiteenahmed,False,0,1,0.0,0.0,0.0,0.0,0.0,0.0
23,LOCCITANE_UK,1496152830834470912,2022-02-22 16:00:06,discover herbae clary sage our latest addition to the herbae collection experience the aromatic green and invigo ,4,,False,17,113,0.6,0.15,0.0,1.0,0.0,0.0
